start
0.439216 0.345098 0.329412
0.392157 0.317647 0.286275
0.0196078 0.0431373 0
0.0313726 0.0627451 0.00392157
0.12549 0.176471 0
0.0196078 0.054902 0
0.0470588 0.0666667 0.00392157
0.0627451 0.117647 0
0.0196078 0.027451 0
0.00784314 0.0196078 0
0.0117647 0.0313726 0.00392157
0.0196078 0.0352941 0
0.0196078 0.0431373 0
0.0431373 0.0862745 0
0.00784314 0.0156863 0
0.0117647 0.0196078 0
0.0117647 0.0156863 0
0.0156863 0.0313726 0.00392157
0 0.00784314 0
0.0313726 0.054902 0
0 0.00392157 0
0.00392157 0.00784314 0
0.0156863 0.0235294 0.00392157
0.00784314 0.0196078 0
0.0117647 0.027451 0.00392157
0.0627451 0.0862745 0.0509804
0 0.00392157 0
0.00392157 0.00784314 0
0.00392157 0.00784314 0
0.0117647 0.0156863 0
0 0.00392157 0
0 0.00392157 0.00392157
0.0156863 0.0235294 0.00392157
0.0196078 0.0313726 0
0.0117647 0.0235294 0
0.027451 0.0352941 0.00392157
0.00392157 0.00392157 0
0.00784314 0.0156863 0.00392157
0.0117647 0.0117647 0.00392157
0.0392157 0.054902 0.0156863
0.0156863 0.0235294 0
0 0.00392157 0
0.00784314 0.0117647 0
0.027451 0.0313726 0.0156863
0.0705882 0.0784314 0.027451
0.00392157 0.00784314 0
0.0117647 0.0235294 0
0.0117647 0.0156863 0
0 0 0
0.00784314 0.0117647 0.00392157
0.00392157 0.00392157 0
0.0235294 0.0235294 0.00784314
0.0156863 0.0235294 0.00784314
0 0.00392157 0
0.00784314 0.00784314 0
0.0235294 0.0352941 0.00392157
0.0196078 0.0196078 0.00392157
0.00784314 0.0117647 0.00392157
0.00392157 0.00392157 0
0.00392157 0.00784314 0
0.0117647 0.0117647 0.00392157
0.0156863 0.0196078 0.00392157
0.00392157 0.00392157 0.00392157
0.00784314 0.00392157 0.00392157
0.00784314 0.00784314 0
0 0 0
0.0196078 0.0235294 0.0117647
0.00392157 0.00392157 0.00392157
0.0117647 0.00784314 0
0.0470588 0.0235294 0.0196078
0.00392157 0.00392157 0.00392157
0.027451 0.0117647 0.00784314
0 0 0
0.00784314 0.00784314 0
0.0313726 0.00784314 0
0 0 0
0.0470588 0.0235294 0.0196078
0.0235294 0.0196078 0
0 0 0
0.00392157 0 0
0.0588235 0.027451 0.0235294
0.00392157 0.00392157 0
0.0588235 0.0235294 0.0196078
0.00392157 0.00392157 0.00392157
0.243137 0.2 0.12549
0 0 0
0.00392157 0 0
0.0666667 0.0313726 0.027451
0.00392157 0.00392157 0.00392157
